ApartmentName,URL,Beds,Baths,Cost,SquareFeet,Library,Fitness Center,Distance,Location
The Enclave Student Housing,https://aggiesearch.tamu.edu/housing/property/the-enclave-student-housing/6qxm0qv,2,2,$559,910,0,1,0.8,South
The Enclave Student Housing,https://aggiesearch.tamu.edu/housing/property/the-enclave-student-housing/6qxm0qv,2,2,$699,"1,025",0,1,0.8,South
ISO Male Roommate for the Fall Semester Only Townhome (Shared Space),https://aggiesearch.tamu.edu/housing/property/iso-male-roommate-for-the-fall-semester-only/ocpbb8xj3b,4,4.5,$649 / Bedroom,"1,911",0,0,3,South
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,2,2,$789 - $809 / Bedroom,819,0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,2,2,$789 - $809 / Bedroom,819,0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,3,3,$819 / Bedroom,"1,244",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675 / Bedroom,"1,450",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675 / Bedroom,"1,441",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675 - $709 / Bedroom,"1,386",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675 - $709 / Bedroom,"1,379",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$699 - $719 / Bedroom,"1,458",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$699 - $719 / Bedroom,"1,458",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,2,2,$789,819,0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,2,2,$809,819,0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,2,2,$789,819,0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,3,3,$819,"1,244",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675,"1,450",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$675,"1,386",0,1,0.5,East
Northpoint Crossing Apartments,https://aggiesearch.tamu.edu/housing/property/northpoint-crossing/hlerym2,4,4,$679,"1,386",0,1,0.5,East
